월(Monthly)	시도명	시군구	승용	승용	승용	승용	승합	승합	승합	승합	화물	화물	화물	화물	특수	특수	특수	특수	총계	총계	총계	총계
2025-07	전남	계	2,464	774,201	220,995	997,660	1,714	25,122	7,715	34,551	2,775	234,031	21,262	258,068	248	4,219	5,178	9,645	7,201	1,037,573	255,150	1,299,924
2025-07	경북	경산시	146	120,326	894	121,366	99	2,907	393	3,399	129	22,139	2,769	25,037	17	434	406	857	391	145,806	4,462	150,659
2025-07	경북	경주시	216	120,972	1,638	122,826	142	3,589	524	4,255	222	25,857	1,991	28,070	16	573	376	965	596	150,991	4,529	156,116
2025-07	경북	고령군	60	14,557	36	14,653	30	646	53	729	76	6,530	690	7,296	18	89	53	160	184	21,822	832	22,838
2025-07	경북	구미시	198	195,218	2,392	197,808	107	4,744	787	5,638	225	25,682	3,585	29,492	21	701	468	1,190	551	226,345	7,232	234,128
2025-07	경북	군위군	0	19	2	21	0	4	0	4	0	16	3	19	0	0	0	0	0	39	5	44
2025-07	경북	김천시	145	59,498	573	60,216	82	1,915	270	2,267	166	18,000	1,123	19,289	17	252	192	461	410	79,665	2,158	82,233
2025-07	경북	문경시	95	27,358	383	27,836	55	1,159	116	1,330	128	10,341	279	10,748	13	149	94	256	291	39,007	872	40,170
2025-07	경북	봉화군	98	11,184	45	11,327	53	396	44	493	86	7,067	86	7,239	16	50	17	83	253	18,697	192	19,142
2025-07	경북	상주시	124	37,417	380	37,921	88	1,556	265	1,909	210	17,376	1,045	18,631	18	224	175	417	440	56,573	1,865	58,878
2025-07	경북	성주군	73	20,368	119	20,560	41	763	49	853	87	11,404	965	12,456	15	148	139	302	216	32,683	1,272	34,171
2025-07	경북	안동시	303	65,971	935	67,209	244	2,072	307	2,623	259	19,411	1,230	20,900	46	366	233	645	852	87,820	2,705	91,377
2025-07	경북	영덕군	73	13,109	97	13,279	49	594	56	699	123	6,026	122	6,271	17	84	30	131	262	19,813	305	20,380
2025-07	경북	영양군	64	6,141	37	6,242	36	271	27	334	73	3,953	51	4,077	8	40	6	54	181	10,405	121	10,707
2025-07	경북	영주시	127	41,723	476	42,326	78	1,501	133	1,712	145	14,619	728	15,492	26	245	157	428	376	58,088	1,494	59,958
2025-07	경북	영천시	133	45,177	364	45,674	82	1,671	232	1,985	130	16,295	1,516	17,941	18	245	361	624	363	63,388	2,473	66,224
2025-07	경북	예천군	106	23,465	170	23,741	62	695	82	839	110	8,677	206	8,993	21	115	46	182	299	32,952	504	33,755
2025-07	경북	울릉군	58	4,416	299	4,773	20	264	207	491	60	1,452	27	1,539	9	23	4	36	147	6,155	537	6,839
2025-07	경북	울진군	135	21,038	110	21,283	58	593	87	738	121	6,629	120	6,870	21	130	39	190	335	28,390	356	29,081
2025-07	경북	의성군	84	19,810	89	19,983	75	836	78	989	131	12,290	891	13,312	11	121	102	234	301	33,057	1,160	34,518
2025-07	경북	청도군	77	17,974	162	18,213	44	619	51	714	91	7,916	613	8,620	16	99	190	305	228	26,608	1,016	27,852
2025-07	경북	청송군	59	10,179	39	10,277	66	459	44	569	87	6,081	115	6,283	10	63	15	88	222	16,782	213	17,217
2025-07	경북	칠곡군	121	55,734	271	56,126	62	1,735	334	2,131	114	12,732	1,570	14,416	14	275	301	590	311	70,476	2,476	73,263
2025-07	경북	포항시 남구	147	103,671	1,339	105,157	84	2,749	768	3,601	215	17,702	4,165	22,082	13	464	1,732	2,209	459	124,586	8,004	133,049
2025-07	경북	포항시 북구	162	131,766	2,116	134,044	95	2,797	299	3,191	108	18,083	1,093	19,284	27	455	298	780	392	153,101	3,806	157,299
2025-07	경북	계	2,804	1,167,091	12,966	1,182,861	1,752	34,535	5,206	41,493	3,096	296,278	24,983	324,357	408	5,345	5,434	11,187	8,060	1,503,249	48,589	1,559,898
2025-07	경남	거제시	125	97,132	1,024	98,281	83	2,667	474	3,224	154	12,024	515	12,693	15	328	168	511	377	112,151	2,181	114,709
2025-07	경남	거창군	108	25,137	183	25,428	74	830	177	1,081	104	9,336	261	9,701	15	88	176	279	301	35,391	797	36,489
2025-07	경남	고성군	67	19,721	183	19,971	61	675	90	826	97	7,336	212	7,645	11	141	66	218	236	27,873	551	28,660
2025-07	경남	김해시	262	249,542	2,231	252,035	155	5,850	624	6,629	234	40,968	4,766	45,968	41	839	612	1,492	692	297,199	8,233	306,124
2025-07	경남	남해군	101	14,361	149	14,611	54	503	106	663	137	6,206	152	6,495	8	67	27	102	300	21,137	434	21,871
2025-07	경남	밀양시	108	44,037	479	44,624	93	1,297	198	1,588	104	13,621	2,587	16,312	15	213	589	817	320	59,168	3,853	63,341
2025-07	경남	사천시	99	49,041	660	49,800	81	1,398	208	1,687	131	10,497	568	11,196	18	190	115	323	329	61,126	1,551	63,006
2025-07	경남	산청군	93	13,906	56	14,055	61	484	54	599	99	7,204	477	7,780	9	145	150	304	262	21,739	737	22,738
2025-07	경남	양산시	187	157,499	1,055	158,741	88	3,982	741	4,811	151	22,314	7,230	29,695	23	643	1,513	2,179	449	184,438	10,539	195,426
2025-07	경남	의령군	68	10,515	51	10,634	52	355	38	445	93	4,555	566	5,214	14	66	120	200	227	15,491	775	16,493
2025-07	경남	진주시	215	145,066	2,642	147,923	173	3,093	1,064	4,330	251	26,574	2,405	29,230	33	534	440	1,007	672	175,267	6,551	182,490
2025-07	경남	창녕군	69	25,233	193	25,495	76	968	105	1,149	94	10,250	421	10,765	11	146	68	225	250	36,597	787	37,634
2025-07	경남	창원시 마산합포구	153	90,497	1,325	91,975	67	1,806	473	2,346	138	10,280	1,003	11,421	15	163	149	327	373	102,746	2,950	106,069
2025-07	경남	창원시 마산회원구	72	97,338	5,610	103,020	34	1,757	403	2,194	54	10,749	1,553	12,356	4	224	233	461	164	110,068	7,799	118,031
2025-07	경남	창원시 성산구	246	148,783	19,303	168,332	220	1,955	865	3,040	140	10,347	971	11,458	15	235	188	438	621	161,320	21,327	183,268
2025-07	경남	창원시 의창구	267	116,412	49,692	166,371	172	2,116	399	2,687	127	16,992	1,473	18,592	18	324	352	694	584	135,844	51,916	188,344
2025-07	경남	창원시 진해구	95	87,698	722	88,515	36	1,818	155	2,009	91	7,761	1,078	8,930	12	277	301	590	234	97,554	2,256	100,044
2025-07	경남	통영시	102	43,274	671	44,047	85	1,541	244	1,870	123	8,715	354	9,192	14	183	72	269	324	53,713	1,341	55,378
2025-07	경남	하동군	61	16,325	91	16,477	72	508	46	626	113	7,812	165	8,090	10	92	83	185	256	24,737	385	25,378
2025-07	경남	함안군	83	33,329	25,014	58,426	54	983	291	1,328	84	10,160	540	10,784	7	178	229	414	228	44,650	26,074	70,952
2025-07	경남	함양군	62	13,905	17,873	31,840	53	468	161	682	109	6,552	146	6,807	14	162	33	209	238	21,087	18,213	39,538
2025-07	경남	합천군	88	15,852	152	16,092	61	575	77	713	142	8,201	394	8,737	14	94	72	180	305	24,722	695	25,722
2025-07	경남	계	2,731	1,514,603	129,359	1,646,693	1,905	35,629	6,993	44,527	2,770	268,454	27,837	299,061	336	5,332	5,756	11,424	7,742	1,824,018	169,945	2,001,705
2025-07	제주	서귀포시	248	77,586	930	78,764	135	2,730	145	3,010	338	26,840	676	27,854	44	261	142	447	765	107,417	1,893	110,075
2025-07	제주	제주시	620	253,780	274,599	528,999	365	6,759	6,237	13,361	710	59,361	3,717	63,788	38	1,133	571	1,742	1,733	321,033	285,124	607,890
2025-07	제주	계	868	331,366	275,529	607,763	500	9,489	6,382	16,371	1,048	86,201	4,393	91,642	82	1,394	713	2,189	2,498	428,450	287,017	717,965
2025-07	강원	강릉시	180	94,856	2,360	97,396	138	2,355	504	2,997	268	17,958	1,418	19,644	38	416	400	854	624	115,585	4,682	120,891
2025-07	강원	고성군	53	11,980	140	12,173	47	421	36	504	102	3,965	93	4,160	6	62	28	96	208	16,428	297	16,933
2025-07	강원	동해시	118	40,001	724	40,843	82	1,134	163	1,379	125	6,853	506	7,484	11	184	194	389	336	48,172	1,587	50,095
2025-07	강원	삼척시	123	26,569	456	27,148	97	759	116	972	183	6,731	187	7,101	10	152	47	209	413	34,211	806	35,430
2025-07	강원	속초시	118	34,283	846	35,247	87	1,018	130	1,235	108	5,279	315	5,702	8	154	91	253	321	40,734	1,382	42,437
2025-07	강원	양구군	57	8,955	62	9,074	54	283	30	367	110	3,350	57	3,517	10	52	20	82	231	12,640	169	13,040
2025-07	강원	양양군	44	12,660	175	12,879	40	381	27	448	126	4,122	67	4,315	12	89	21	122	222	17,252	290	17,764
2025-07	강원	영월군	132	15,138	155	15,425	79	604	59	742	126	6,192	134	6,452	13	122	55	190	350	22,056	403	22,809
2025-07	강원	원주시	229	163,868	2,535	166,632	163	4,055	511	4,729	232	26,479	2,333	29,044	26	736	367	1,129	650	195,138	5,746	201,534
2025-07	강원	인제군	60	14,710	88	14,858	53	434	60	547	124	5,004	115	5,243	10	88	32	130	247	20,236	295	20,778
2025-07	강원	정선군	116	14,297	223	14,636	99	514	78	691	156	6,123	159	6,438	23	116	34	173	394	21,050	494	21,938
2025-07	강원	철원군	58	17,170	207	17,435	71	624	55	750	140	6,996	147	7,283	16	93	22	131	285	24,883	431	25,599
2025-07	강원	춘천시	352	122,552	2,393	125,297	276	2,959	614	3,849	270	18,490	2,768	21,528	29	534	407	970	927	144,535	6,182	151,644
2025-07	강원	태백시	72	16,246	363	16,681	58	580	123	761	122	3,320	137	3,579	15	124	48	187	267	20,270	671	21,208
2025-07	강원	평창군	108	17,801	226	18,135	79	716	71	866	120	8,609	142	8,871	22	96	51	169	329	27,222	490	28,041
2025-07	강원	홍천군	134	28,455	255	28,844	115	1,137	272	1,524	185	11,713	459	12,357	22	177	66	265	456	41,482	1,052	42,990
2025-07	강원	화천군	59	9,974	56	10,089	64	275	43	382	99	3,308	47	3,454	10	60	24	94	232	13,617	170	14,019
2025-07	강원	횡성군	93	19,701	553	20,347	64	789	82	935	123	8,653	269	9,045	14	138	48	200	294	29,281	952	30,527
2025-07	강원	계	2,106	669,216	11,817	683,139	1,666	19,038	2,974	23,678	2,719	153,145	9,353	165,217	295	3,393	1,955	5,643	6,786	844,792	26,099	877,677
2025-07	전북	고창군	112	20,454	165	20,731	66	1,248	93	1,407	158	10,696	280	11,134	14	118	47	179	350	32,516	585	33,451
2025-07	전북	군산시	217	117,489	1,961	119,667	125	2,844	516	3,485	214	19,233	3,269	22,716	22	517	716	1,255	578	140,083	6,462	147,123
2025-07	전북	김제시	125	35,351	505	35,981	65	1,457	147	1,669	148	13,845	1,040	15,033	8	265	156	429	346	50,918	1,848	53,112
2025-07	전북	남원시	136	29,990	398	30,524	108	1,114	167	1,389	175	12,458	457	13,090	20	192	70	282	439	43,754	1,092	45,285
2025-07	전북	무주군	72	9,058	56	9,186	40	453	58	551	99	4,412	249	4,760	7	49	36	92	218	13,972	399	14,589
2025-07	전북	부안군	99	19,143	178	19,420	66	770	121	957	140	8,671	269	9,080	12	113	52	177	317	28,697	620	29,634
2025-07	전북	순창군	74	10,627	130	10,831	60	370	22	452	99	5,272	64	5,435	10	46	22	78	243	16,315	238	16,796
2025-07	전북	완주군	116	48,062	226	48,404	121	1,552	431	2,104	212	12,451	2,361	15,024	28	275	222	525	477	62,340	3,240	66,057
2025-07	전북	익산시	197	116,269	1,801	118,267	144	3,678	485	4,307	215	24,370	3,098	27,683	17	456	425	898	573	144,773	5,809	151,155
2025-07	전북	임실군	83	9,823	58	9,964	62	403	70	535	121	4,925	275	5,321	8	64	24	96	274	15,215	427	15,916
2025-07	전북	장수군	75	7,968	32	8,075	44	333	21	398	113	4,448	88	4,649	6	53	22	81	238	12,802	163	13,203
2025-07	전북	전주시 덕진구	168	150,784	3,017	153,969	110	3,226	906	4,242	153	18,856	2,644	21,653	14	572	408	994	445	173,438	6,975	180,858
2025-07	전북	전주시 완산구	338	137,109	1,997	139,444	222	2,915	538	3,675	209	15,739	1,532	17,480	23	374	250	647	792	156,137	4,317	161,246
2025-07	전북	정읍시	111	41,635	649	42,395	110	1,478	195	1,783	162	14,935	898	15,995	8	257	123	388	391	58,305	1,865	60,561
2025-07	전북	진안군	110	9,827	92	10,029	53	391	96	540	111	5,049	107	5,267	15	55	16	86	289	15,322	311	15,922
2025-07	전북	계	2,033	763,589	11,265	776,887	1,396	22,232	3,866	27,494	2,329	175,360	16,631	194,320	212	3,406	2,589	6,207	5,970	964,587	34,351	1,004,908
